p,gpg_mode,GPG cooperativity,exact infidelity,GPG infidelity,GPG - exact infidelity penalty,0.5||rho_GPG-rho_exact||_1,Tr noisy rho,Tr exact output,Tr GPG output,max state-prep infidelity,total optimized seconds,baseline p,below baseline,wall seconds,cache_key
0.0005,detuned,1000000.0,3.6092774657880966e-08,0.0032001600827351595,0.0032001239899605016,0.046085474942904214,1.0000000000000004,0.9999999999999837,1.0000000000000413,0.14074212242008932,183.63386417168658,0.0005,False,184.0018929579528,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,10000000.0,3.6092774657880966e-08,0.0006957814804859908,0.0006957453877113329,0.022589790654223264,1.0000000000000004,0.9999999999999837,1.0000000000000453,0.05371753813053748,185.26709303923417,0.0005,False,185.41764854104258,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,100000000.0,3.6092774657880966e-08,0.000279397697110495,0.0002793616043358371,0.014096673282080387,1.0000000000000004,0.9999999999999837,1.0000000000000473,0.02418442362044937,185.40954595792573,0.0005,True,185.56102779204957,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,1000000000.0,3.6092774657880966e-08,8.43561997262432e-05,8.432010695158532e-05,0.00515705522640345,1.0000000000000004,0.9999999999999837,1.000000000000044,0.020119516227208756,181.4107826645486,0.0005,True,181.55841870803852,p=5.000000000000e-04|C=1.000000000000e+09|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,10000000000.0,3.6092774657880966e-08,3.646260767964371e-05,3.642651490498583e-05,0.0019532204672840056,1.0000000000000004,0.9999999999999837,1.0000000000000417,0.013172802335584599,180.8871367946267,0.0005,True,181.0344135829946,p=5.000000000000e-04|C=1.000000000000e+10|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,1000000.0,2.8663604256795594e-07,0.0018047634011167935,0.0018044767650742255,0.03272233220106543,1.0000000000000004,0.9999999999998519,1.0000000000000409,0.148250495035953,137.45437225117348,0.001,False,137.60870645893738,p=1.000000000000e-03|C=1.000000000000e+06|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,10000000.0,2.8663604256795594e-07,0.0003512596169048532,0.00035097298086228523,0.014106614451137565,1.0000000000000004,0.9999999999998519,1.0000000000000404,0.050112872586302926,134.9920994589338,0.001,True,135.13535175006837,p=1.000000000000e-03|C=1.000000000000e+07|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,100000000.0,2.8663604256795594e-07,7.707404751466918e-05,7.678741147210122e-05,0.0061232167093484,1.0000000000000004,0.9999999999998519,1.0000000000000417,0.016260029257045172,135.05087416584138,0.001,True,135.19901383295655,p=1.000000000000e-03|C=1.000000000000e+08|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,1000000000.0,2.8663604256795594e-07,4.662359168561281e-05,4.633695564304485e-05,0.004958739359332194,1.0000000000000004,0.9999999999998519,1.0000000000000422,0.005709039447053588,134.76520954398438,0.001,True,134.91372724995017,p=1.000000000000e-03|C=1.000000000000e+09|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,10000000000.0,2.8663604256795594e-07,5.070257629635755e-06,4.783621587067799e-06,0.0017778653505158269,1.0000000000000004,0.9999999999998519,1.0000000000000346,0.002069952142902065,134.2073589573847,0.001,True,134.34884058393072,p=1.000000000000e-03|C=1.000000000000e+10|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,1000000.0,3.6092774657880966e-08,0.001817435166363457,0.001817399073588799,0.033404102223534834,1.0000000000000004,0.9999999999999837,1.000000000000039,0.13601663515835427,886.6650550869526,0.0005,False,886.8461044590222,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,detuned,10000000.0,3.6092774657880966e-08,0.00019661741316012726,0.00019658132038546938,0.012423900719381183,1.0000000000000004,0.9999999999999837,1.000000000000048,0.047297716565084746,905.6712132073008,0.0005,True,905.8348638749449,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,detuned,100000000.0,3.6092774657880966e-08,1.3674461301738106e-05,1.3638368527080225e-05,0.0031535197298802856,1.0000000000000004,0.9999999999999837,1.0000000000000466,0.014276242656467542,1656.2589538361644,0.0005,True,1656.436925875023,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,detuned,1000000000.0,3.6092774657880966e-08,8.023991106331785e-06,7.987898331673904e-06,0.002429284860304981,1.0000000000000004,0.9999999999999837,1.0000000000000435,0.004655853723370851,3913.410893165972,0.0005,True,3913.5628810840426,p=5.000000000000e-04|C=1.000000000000e+09|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,detuned,10000000000.0,3.6092774657880966e-08,1.8940213911688986e-06,1.8579286165110176e-06,0.00103725677622834,1.0000000000000004,0.9999999999999837,1.000000000000039,0.0017026559420625365,1661.2563529177569,0.0005,True,1661.423083917005,p=5.000000000000e-04|C=1.000000000000e+10|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.001,detuned,1000000.0,2.8663604256795594e-07,0.0023619421391083417,0.0023616555030657738,0.04055735320761686,1.0000000000000004,0.9999999999998519,1.0000000000000437,0.10536264839574705,680.8852401230251,0.001,False,681.0373559159925,p=1.000000000000e-03|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.001,detuned,10000000.0,2.8663604256795594e-07,0.0008441049703199477,0.0008438183342773797,0.02352823183343135,1.0000000000000004,0.9999999999998519,1.0000000000000402,0.04931763756302321,684.7916704990203,0.001,True,684.9421042079339,p=1.000000000000e-03|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.001,detuned,100000000.0,2.8663604256795594e-07,4.532017858005499e-05,4.503354253748704e-05,0.005518276233161911,1.0000000000000004,0.9999999999998519,1.0000000000000402,0.016170844950320395,689.8423290409846,0.001,True,689.9914834579686,p=1.000000000000e-03|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.001,detuned,1000000000.0,2.8663604256795594e-07,2.0443582115947656e-05,2.01569460733797e-05,0.0034767268920442105,1.0000000000000004,0.9999999999998519,1.0000000000000397,0.005148601433919708,703.470933503937,0.001,True,703.6338205420179,p=1.000000000000e-03|C=1.000000000000e+09|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.001,detuned,10000000000.0,2.8663604256795594e-07,1.2143620918059206e-05,1.185698487549125e-05,0.002143057434199614,1.0000000000000004,0.9999999999998519,1.0000000000000417,0.0018538722915060202,706.2642630030168,0.001,True,706.429869582993,p=1.000000000000e-03|C=1.000000000000e+10|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
