p,cooperativity,factor,eig_index,pulses,columns,file,cache_key,GPG infidelity
0.0005,1000000.0,feedback U_0,0,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_0__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_0,2,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_0__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_0,3,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_0__eig_03.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_0,4,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_0__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_1,0,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_1__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_1,1,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_1__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_1,2,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_1__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_1,3,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_1__eig_03.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_1,4,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_1__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_1,5,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_1__eig_05.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_1,7,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_1__eig_07.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_1,8,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_1__eig_08.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_2,0,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_2__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_2,1,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_2__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_2,2,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_2__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_2,4,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_2__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_2,5,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_2__eig_05.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_2,6,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_2__eig_06.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_2,7,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_2__eig_07.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_3,1,11,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_3__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_3,2,11,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_3__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_3,3,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_3__eig_03.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_3,4,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_3__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,feedback U_3,5,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__feedback_u_3__eig_05.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,stage 0 split entangler,8,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__stage_0_split_entangler__eig_08.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,stage 0 split entangler,9,11,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__stage_0_split_entangler__eig_09.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,stage 1 split entangler,1,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__stage_1_split_entangler__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,1000000.0,stage 1 split entangler,2,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e06__stage_1_split_entangler__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.001817435166363457
0.0005,10000000.0,feedback U_0,0,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_0__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_0,2,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_0__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_0,3,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_0__eig_03.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_0,4,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_0__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_1,0,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_1__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_1,1,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_1__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_1,2,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_1__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_1,3,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_1__eig_03.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_1,4,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_1__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_1,5,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_1__eig_05.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_1,7,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_1__eig_07.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_1,8,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_1__eig_08.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_2,0,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_2__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_2,1,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_2__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_2,2,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_2__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_2,4,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_2__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_2,5,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_2__eig_05.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_2,6,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_2__eig_06.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_2,7,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_2__eig_07.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_3,1,11,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_3__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_3,2,11,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_3__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_3,3,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_3__eig_03.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_3,4,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_3__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,feedback U_3,5,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__feedback_u_3__eig_05.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,stage 0 split entangler,8,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__stage_0_split_entangler__eig_08.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,stage 0 split entangler,9,11,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__stage_0_split_entangler__eig_09.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,stage 1 split entangler,1,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__stage_1_split_entangler__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,10000000.0,stage 1 split entangler,2,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e07__stage_1_split_entangler__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,0.00019661741316012726
0.0005,100000000.0,feedback U_0,0,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_0__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_0,2,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_0__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_0,3,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_0__eig_03.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_0,4,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_0__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_1,0,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_1__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_1,1,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_1__eig_01.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_1,2,8,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_1__eig_02.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_1,3,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_1__eig_03.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_1,4,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_1__eig_04.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_1,5,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_1__eig_05.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_1,7,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_1__eig_07.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_1,8,9,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_1__eig_08.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
0.0005,100000000.0,feedback U_2,0,10,"alpha,beta,gamma,kappa,detuning",sequences/p_5p000000000000em04__C_1p000e08__feedback_u_2__eig_00.csv,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=3|maxiter=500|complete-prior-v1,1.3674461301738106e-05
